,Unnamed: 0,Date,HPA,HPD,Cie,Ligne,Esc 1,Immat,Type app,PKG,Remarque,Comment,Terminal,DATETIME,Graph_intervale,Brigade
30,30,2022-04-09,,10:30:00,DAH,6042,BSK,7TVJL,B738,P12,DECOLLE 10:47,A TRACTE/100PX,T2,2022-04-09 10:30:00,"[6389, 6391]",Journee
31,31,2022-04-09,,10:35:00,DAH,6252,ELU,7TVUO,ATR72,PA1,DECOLLE 10:44,62PX,T2,2022-04-09 10:35:00,"[6394, 6396]",Journee
32,32,2022-04-09,10:50:00,,AFR,4144,CDG,,B777,P23B,ARRIVE 11:31,471PX,T4,2022-04-09 10:50:00,"[6408, 6412]",Journee
33,33,2022-04-09,10:50:00,,DAH,4001,TUN,7TVKD,B738,P18,ARRIVE 10:54,138PX,T4,2022-04-09 10:50:00,"[6408, 6412]",Journee
34,34,2022-04-09,,11:00:00,DAH,6132,CBH,7TVVR,ATR72,PA1,DECOLLE 11:05,49PX,T2,2022-04-09 11:00:00,"[6419, 6421]",Journee
35,35,2022-04-09,,11:00:00,DAH,6472,DJK,7TVKB,B738,P10C,DECOLLE 11:07,A TRACTE/123PX,T2,2022-04-09 11:00:00,"[6419, 6421]",Journee
36,36,2022-04-09,11:05:00,,DLH,1316,FRA,,A321,P16,ARRIVE 11:00,160PX,T4,2022-04-09 11:05:00,"[6423, 6427]",Journee
37,37,2022-04-09,11:20:00,,DTH,1401,RNS,7TVCL,DH8D,PA1,ARRIVE 10:45,,T2,2022-04-09 11:20:00,"[6439, 6441]",Journee
38,38,2022-04-09,11:35:00,,DAH,6171,AAE,7TVUM,ATR72,PA1,ARRIVE 11:30,65PX,T2,2022-04-09 11:35:00,"[6454, 6456]",Journee
39,39,2022-04-09,11:45:00,,THY,651,IST,,B777,P3B,ARRIVE 11:21,316PX,T1,2022-04-09 11:45:00,"[6464, 6466]",Journee
40,40,2022-04-09,,11:45:00,DAH,2046,GVA,7TVKK,B738,P17,DECOLLE 11:51,MEP/108PX,T4,2022-04-09 11:45:00,"[6463, 6467]",Journee
41,41,2022-04-09,,12:00:00,DAH,6292,DJG,7TVKP,B738,P9,DECOLLE 12:15,A TRACTE/123PX,T2,2022-04-09 12:00:00,"[6479, 6481]",Journee
42,42,2022-04-09,12:05:00,,DAH,6181,ORN,7TVUT,ATR72,PA1,ARRIVE 11:35,34PX,T2,2022-04-09 12:05:00,"[6484, 6486]",Journee
43,43,2022-04-09,,12:25:00,DLH,1317,FRA,,A321,P16,DECOLLE 12:32,126PX,T4,2022-04-09 12:25:00,"[6503, 6507]",Journee
44,44,2022-04-09,,12:30:00,DAH,6216,OGX,7TVUM,ATR72,PA1,DECOLLE 12:35,61PX,T2,2022-04-09 12:30:00,"[6509, 6511]",Journee
45,45,2022-04-09,,12:30:00,DTH,1402,RNS,7TVCL,DH8D,PA1,DECOLLE 12:24,24PX,T2,2022-04-09 12:30:00,"[6509, 6511]",Journee
46,46,2022-04-09,,13:00:00,DAH,6228,HME,7TVUT,ATR72,PA1,DECOLLE 12:55,39PX,T2,2022-04-09 13:00:00,"[6539, 6541]",Journee
47,47,2022-04-09,,13:05:00,AFR,4145,CDG,,B777,P23B,DECOLLE 13:28,335PX,T4,2022-04-09 13:05:00,"[6543, 6547]",Journee
48,48,2022-04-09,13:10:00,,DAH,6043,BSK,7TVJL,B738,PA1,ARRIVE 13:40,148PX,T2,2022-04-09 13:10:00,"[6549, 6551]",Journee
49,49,2022-04-09,13:15:00,,QTR,1379,DOH,,A332,P6B,ARRIVE 13:31,PX05,T1,2022-04-09 13:15:00,"[6554, 6556]",Journee
50,50,2022-04-09,,13:20:00,DAH,1020,MRS,7TVJW,A330,P24B,DECOLLE 13:23,294PX,T4,2022-04-09 13:20:00,"[6558, 6562]",Journee
51,51,2022-04-09,,13:20:00,THY,652,IST,,B777,P3B,DECOLLE 13:26,106PX,T1,2022-04-09 13:20:00,"[6559, 6561]",Journee
52,52,2022-04-09,13:25:00,,DAH,6033,TEE,7TVUW,ATR72,PA1,ARRIVE 13:30,67PX,T2,2022-04-09 13:25:00,"[6564, 6566]",Journee
53,53,2022-04-09,13:35:00,,TAR,374,TUN,,A320,P1,ARRIVE 13:21,136PX,T1,2022-04-09 13:35:00,"[6574, 6576]",Journee
54,54,2022-04-09,14:20:00,,DAH,6253,ELU,7TVUO,ATR72,PA1,ARRIVE 14:15,66PX,T2,2022-04-09 14:20:00,"[6619, 6621]",Journee
55,55,2022-04-09,14:30:00,,DAH,6157,TMX,7TVJR,B736,P11A,ARRIVE 14:49,72PX,T2,2022-04-09 14:30:00,"[6629, 6631]",Journee
56,56,2022-04-09,14:30:00,,DAH,4063,DXB,7TVJC,A330,P23B,ARRIVE 14:58,PX121,T4,2022-04-09 14:30:00,"[6628, 6632]",Journee
57,57,2022-04-09,,14:30:00,DAH,6056,GJL,7TVJU,B736,P11A,DECOLLE 14:25,A TRACTE/91 PAX,T2,2022-04-09 14:30:00,"[6629, 6631]",Journee
58,58,2022-04-09,,14:30:00,DAH,6184,ORN,7TVJS,B736,P12,DECOLLE 14:47,A TRACTE/101 PAX,T2,2022-04-09 14:30:00,"[6629, 6631]",Journee
59,59,2022-04-09,,14:35:00,TAR,375,TUN,,A320,P1,DECOLLE 14:41,151PAX,T1,2022-04-09 14:35:00,"[6634, 6636]",Journee
60,60,2022-04-09,15:00:00,,DAH,6143,AZR,7TVJT,B736,P9,DECOLLE 15:01,84PAX,T2,2022-04-09 15:00:00,"[6659, 6661]",Journee
61,61,2022-04-09,15:10:00,,DAH,1011,ORY,7TVJZ,A330,P20,ARRIVE 15:57,269PAX,T4,2022-04-09 15:10:00,"[6668, 6672]",Journee
62,62,2022-04-09,15:15:00,,DTH,1201,HME,7TVCM,DH8D,PA1,ARRIVE 15:10,45PAX,T2,2022-04-09 15:15:00,"[6674, 6676]",Journee
63,63,2022-04-09,15:15:00,,DAH,6259,CZL,7TVUK,ATR72,PA1,ARRIVE 14:55,66PAX,T2,2022-04-09 15:15:00,"[6674, 6676]",Journee
64,64,2022-04-09,15:20:00,,DAH,2025,FCO,7TVKR,B738,P19,ARRIVE 15:26,138PAX,T4,2022-04-09 15:20:00,"[6678, 6682]",Journee
65,65,2022-04-09,,15:20:00,QTR,1380,DOH,,A332,P6B,DECOLLE 15:17,158PAX,T1,2022-04-09 15:20:00,"[6679, 6681]",Journee
66,66,2022-04-09,15:25:00,,DAH,3001,SVO,7TVKN,B738,P17,ARRIVE 17:34,54PAX,T4,2022-04-09 15:25:00,"[6683, 6687]",Journee
67,67,2022-04-09,15:35:00,,DTH,1517,HRM,7TVCT,B738,PA1,ARRIVE 14:30,31PAX,T2,2022-04-09 15:35:00,"[6694, 6696]",Journee
68,68,2022-04-09,,15:50:00,DAH,4602,JED,7TVJA,A330,PA2,DECOLLE 15:45,245PAX,T1,2022-04-09 15:50:00,"[6709, 6711]",Journee
69,69,2022-04-09,,16:00:00,DAH,6140,AZR,7TVUV,ATR72,PA1,DECOLLE 15:50,37PX ,T2,2022-04-09 16:00:00,"[6719, 6721]",Journee
70,70,2022-04-09,,16:00:00,DAH,6176,AAE,7TVUO,ATR72,PA1,DECOLLE 15:55,61PX,T2,2022-04-09 16:00:00,"[6719, 6721]",Journee
71,71,2022-04-09,,16:00:00,DAH,6192,CZL,7TVKE,B738,P10C,DECOLLE 16:03,96PX,T2,2022-04-09 16:00:00,"[6719, 6721]",Journee
72,72,2022-04-09,16:05:00,,DAH,6133,CBH,7TVVR,ATR72,PA1,ARRIVE 16:25,66PX,T2,2022-04-09 16:05:00,"[6724, 6726]",Journee
73,73,2022-04-09,16:15:00,,DTH,1155,HRM,7TVCD,B738,P12,ARRIVE 16:10,,T2,2022-04-09 16:15:00,"[6734, 6736]",Journee
74,74,2022-04-09,16:40:00,,DAH,6217,OGX,7TVUM,ATR72,PA1,ARRIVE 16:35,72PX,T2,2022-04-09 16:40:00,"[6759, 6761]",Journee
75,75,2022-04-09,,16:40:00,DTH,2114,CZL,7TVCB,B738,PA1,DECOLLE 16:15,07PX,T2,2022-04-09 16:40:00,"[6759, 6761]",Journee
76,76,2022-04-09,16:45:00,,DAH,2047,GVA,7TVKK,B738,P22C,ARRIVE 16:50,145PX,T4,2022-04-09 16:45:00,"[6763, 6767]",Journee
77,77,2022-04-09,,16:45:00,DAH,2014,BCN,7TVJZ,A330,P20,DECOLLE 17:25,AH 1011 ORY 15H10/149PAX,T4,2022-04-09 16:45:00,"[6763, 6767]",Journee
78,78,2022-04-09,16:55:00,,DAH,6229,HME,7TVUUT,ATR72,PA1,ARRIVE 17:00,,T2,2022-04-09 16:55:00,"[6774, 6776]",Journee
79,79,2022-04-09,16:55:00,,DTH,1327,AAE,7TVCF,B738,PA1,ARRIVE 17:25,98PAX,T2,2022-04-09 16:55:00,"[6774, 6776]",Journee
80,80,2022-04-09,17:05:00,,DAH,6239,TMR,7TVKA,B738,PA1,ARRIVE 17:10,124PX,T2,2022-04-09 17:05:00,"[6784, 6786]",Journee
81,81,2022-04-09,17:10:00,,DTH,2321,AZR,7TVCE,B738,PA1,ARRIVE 17:10,20PAX,T2,2022-04-09 17:10:00,"[6789, 6791]",Journee
82,82,2022-04-09,17:15:00,,DAH,6297,INZ,7TVUI,ATR72,PA1,ARRIVE 17:20,64PX,T2,2022-04-09 17:15:00,"[6794, 6796]",Journee
83,83,2022-04-09,,17:20:00,DAH,6222,HME,7TVJT,B736,P9,DECOLLE 17:09,DAH 6143 AZR 15H00/54PX,T2,2022-04-09 17:20:00,"[6799, 6801]",Journee
84,84,2022-04-09,17:30:00,,DAH,6185,ORN,7TVJS,B736,P9,ARRIVE 17:22,82PX,T2,2022-04-09 17:30:00,"[6809, 6811]",Journee
85,85,2022-04-09,17:40:00,,DAH,6057,GJL,7TVJU,B736,P11A,ARRIVE 16:45,102PX,T2,2022-04-09 17:40:00,"[6819, 6821]",Journee
86,86,2022-04-09,17:40:00,,DAH,6343,TMR,7TVKC,B738,PA1,ARRIVE 17:15,,T2,2022-04-09 17:40:00,"[6819, 6821]",Journee
87,87,2022-04-09,17:45:00,,DAH,6473,DJG,7TVKB,B738,PA1,ARRIVE 17:35,49PX,T2,2022-04-09 17:45:00,"[6824, 6826]",Journee
88,88,2022-04-09,18:00:00,,DAH,1021,MRS,7TVJW,A330,P21,ARRIVE 18:38,301PX,T4,2022-04-09 18:00:00,"[6838, 6842]",Journee
89,89,2022-04-09,,18:00:00,DTH,1802,HME,7TVCD,B738,P12,DECOLLE 17:44,SF 1155 HRM 1615/118PAX,T2,2022-04-09 18:00:00,"[6839, 6841]",Journee
90,90,2022-04-09,18:05:00,,VLG,7991,MRS,,A320,P16,ARRIVE 18:12,148PX,T4,2022-04-09 18:05:00,"[6843, 6847]",Journee
91,91,2022-04-09,18:20:00,,DAH,3017,IST,7TVKO,B738,P15,ARRIVE 18:34,107PX,T4,2022-04-09 18:20:00,"[6858, 6862]",Journee
92,92,2022-04-09,,18:20:00,DAH,6026,CZL,7TVJU,B736,P11A,DECOLLE 18:40,AH 6157 TMX 14H30 26PX,T4,2022-04-09 18:20:00,"[6858, 6862]",Journee
93,93,2022-04-09,,18:30:00,DAH,6106,ORN,7TVJS,B736,P9,DECOLLE 18:36,DAH 6185 AAE 17H30 69PX,T2,2022-04-09 18:30:00,"[6869, 6871]",Journee
94,94,2022-04-09,18:40:00,,DAH,6193,CZL,7TVKE,B738,P12,ARRIVE 18:44,88PX,T2,2022-04-09 18:40:00,"[6879, 6881]",Journee
95,95,2022-04-09,,18:40:00,DAH,6006,AAE,7TVKL,B738,P10C,DECOLLE 18:50,A TRACTE,T2,2022-04-09 18:40:00,"[6879, 6881]",Journee
96,96,2022-04-09,,19:05:00,VLG,7990,MRS,,A320,P16,DECOLLE 19:15,109PX,T4,2022-04-09 19:05:00,"[6903, 6907]",Nuit
97,97,2022-04-09,19:15:00,,DTH,1841,CZL,7TVCC,B738,P11A,ARRIVE 19:28,,T2,2022-04-09 19:15:00,"[6914, 6916]",Nuit
98,98,2022-04-09,19:25:00,,DAH,6177,AAE,7TVUO,ATR72,PA1,ARRIVE 19:30,66PX,T2,2022-04-09 19:25:00,"[6924, 6926]",Nuit
99,99,2022-04-09,19:25:00,,DAH,6521,ELG,7TVUQ,ATR72,PA1,ARRIVE 18:55,55PAX,T2,2022-04-09 19:25:00,"[6924, 6926]",Nuit
100,100,2022-04-09,19:35:00,,DAH,6292,TMR,7TVKP,B738,P9,ARRIVE 19:45,131PAX,T2,2022-04-09 19:35:00,"[6934, 6936]",Nuit
101,101,2022-04-09,21:00:00,,DAH,2015,BCN,7TVJZ,A330,P24B,ARRIVE 20:56,248PX,T4,2022-04-09 21:00:00,"[7018, 7022]",Nuit
102,102,2022-04-10,04:55:00,,DAH,4603,7TVJA,A330,JED,PA2,ARRIVE 03:50,0 PX,T3,2022-04-10 04:55:00,"[6053, 6057]",Nuit
103,103,2022-04-10,05:00:00,,DAH,2701,7TVJV,A330,YUL,P20,ARRIVE 04:15,154 PX,T4,2022-04-10 05:00:00,"[6058, 6062]",Nuit
104,104,2022-04-10,,07:20:00,DTH,1524,7TVCM,DH8D,HRM,PA1,DECOLLE 07:40,,T2,2022-04-10 07:20:00,"[6199, 6201]",Nuit
105,105,2022-04-10,,07:30:00,DAH,6070,7TVJR,B736,LOO,P10C,DECOLLE 07:30,39 PX,T2,2022-04-10 07:30:00,"[6209, 6211]",Nuit
106,106,2022-04-10,,08:00:00,DAH,6038,7TVUN,ATR72,BLJ,PA1,DECOLLE 08:00,36 PX,T2,2022-04-10 08:00:00,"[6239, 6241]",Journee
107,107,2022-04-10,,08:15:00,DAH,6170,7RVUK,ATR72,AAE,PA1,DECOLLE 08:10,,T2,2022-04-10 08:15:00,"[6254, 6256]",Journee
108,108,2022-04-10,,08:15:00,DAH,6216,7TVUO,ATR72,OGX,PA1,DECOLLE 08:20,65 PX,T2,2022-04-10 08:15:00,"[6254, 6256]",Journee
109,109,2022-04-10,08:25:00,,DTH,1903,7TVCD,B738,HME,P11A,ARRIVE 08:14,42 PX,T2,2022-04-10 08:25:00,"[6264, 6266]",Journee
110,110,2022-04-10,08:30:00,,VLG,7476,,A321,BCN,P16,ARRIVE 08:17,151 PX,T4,2022-04-10 08:30:00,"[6268, 6272]",Journee
111,111,2022-04-10,08:40:00,,DAH,6223,7TVJT,B736,HME,P18,ARRIVE 08:41,76 PX,T2,2022-04-10 08:40:00,"[6279, 6281]",Journee
112,112,2022-04-10,,08:40:00,DAH,6180,7TVVQ,ATR72,ORN,PA1,DECOLLE 08:3,56 PX,T2,2022-04-10 08:40:00,"[6279, 6281]",Journee
113,113,2022-04-10,,09:00:00,DAH,6232,7TVKA,B738,TMR,P12,DECOLLE 09:19,133 PX,T2,2022-04-10 09:00:00,"[6299, 6301]",Journee
114,114,2022-04-10,,09:10:00,DAH,1010,7TVJV,A330,ORY,P20,DECOLLE 09:23,253 PX,T4,2022-04-10 09:10:00,"[6308, 6312]",Journee
115,115,2022-04-10,09:15:00,,DAH,6107,7TVKI,B738,ORN,P10C,ARRIVE 09:02,140 PX,T2,2022-04-10 09:15:00,"[6314, 6316]",Journee
116,116,2022-04-10,,09:30:00,VLG,7477,,A321,BCN,P16,DECOLLE 09:30,85 PX,T4,2022-04-10 09:30:00,"[6328, 6332]",Journee
117,117,2022-04-10,09:35:00,,DAH,6027,7TVJU,B736,CZL,P12,ARRIVE 09:49,91 PX,T2,2022-04-10 09:35:00,"[6334, 6336]",Journee
118,118,2022-04-10,09:45:00,,DAH,6007,7TVKL,B738,AAE,PA1,ARRIVE 09:30,89 PX,T2,2022-04-10 09:45:00,"[6344, 6346]",Journee
119,119,2022-04-10,,10:00:00,DAH,3016,7TVJC,A330,IST,P23B,DECOLLE 10:30,190 PX,T4,2022-04-10 10:00:00,"[6358, 6362]",Journee
120,120,2022-04-10,,10:00:00,DTH,1320,7TVCD,B738,IAM,P11A,DECOLLE 09:26,93 PX/SF 1903 HME 0825,T2,2022-04-10 10:00:00,"[6359, 6361]",Journee
121,121,2022-04-10,10:05:00,,DTH,2111,7TVCT,B738,CZL,PA1,ARRIVE 09:38,,T2,2022-04-10 10:05:00,"[6364, 6366]",Journee
122,122,2022-04-10,,10:10:00,DAH,6276,7TVUM,ATR72,MZW,PA1,DECOLLE 10:40,,T2,2022-04-10 10:10:00,"[6369, 6371]",Journee
123,123,2022-04-10,,10:15:00,DAH,2070,7TVKN,B738,FRA,P19,DECOLLE 10:31,95 PX,T4,2022-04-10 10:15:00,"[6373, 6377]",Journee
124,124,2022-04-10,,10:15:00,DAH,6142,7TVJL,B738,AZR,PA1,DECOLLE 10:10,69 PX,T2,2022-04-10 10:15:00,"[6374, 6376]",Journee
125,125,2022-04-10,,10:15:00,DAH,6156,7TVKI,B738,TMX,P10C,DECOLLE 10:05,19 PX,T2,2022-04-10 10:15:00,"[6374, 6376]",Journee
126,126,2022-04-10,,10:15:00,DAH,2026,7TVJT,B736,MXP,P18,DECOLLE 10:17,24 PX/AH6223 HME 08H25,T4,2022-04-10 10:15:00,"[6373, 6377]",Journee
127,127,2022-04-10,10:20:00,,FPO,271,,B738,CDG,P14,ARRIVE 10:26,114 PX,T4,2022-04-10 10:20:00,"[6378, 6382]",Journee
128,128,2022-04-10,,10:20:00,DAH,2054,7TVKO,B738,LHR,P15,DECOLLE 11:05,130 PX,T4,2022-04-10 10:20:00,"[6378, 6382]",Journee
129,129,2022-04-10,10:25:00,,LBT,130,,A320,TUN,P1,ARRIVE 10:43,69 PX,T1,2022-04-10 10:25:00,"[6384, 6386]",Journee
130,130,2022-04-10,10:30:00,,AFR,4144,,B777,ORY,P21,ARRIVE 10:30,335 PX,T4,2022-04-10 10:30:00,"[6388, 6392]",Journee
131,131,2022-04-10,,10:45:00,DAH,6190,7TVKG,B738,CZL,PA1,DECOLLE 10:55,,T2,2022-04-10 10:45:00,"[6404, 6406]",Journee
132,132,2022-04-10,,11:00:00,DAH,6058,7TVJU,B736,GJL,P12,DECOLLE 11:10,AH 6027 CZL 0935/50 PX,T2,2022-04-10 11:00:00,"[6419, 6421]",Journee
133,133,2022-04-10,11:20:00,,DAH,6039,7TVUN,ATR72,BLJ,PA1,ARRIVE 11:00,65 PX,T2,2022-04-10 11:20:00,"[6439, 6441]",Journee
134,134,2022-04-10,,11:20:00,FPO,364,,B738,LIL,P14,DECOLLE 11:27,,T4,2022-04-10 11:20:00,"[6438, 6442]",Journee
135,135,2022-04-10,11:25:00,,AFR,1384,,A320,CDG,P16,ARRIVE 11:20,14 PX,T4,2022-04-10 11:25:00,"[6443, 6447]",Journee
136,136,2022-04-10,,11:25:00,LBT,131,,A320,TUN,P1,DECOLLE 11:42,,T1,2022-04-10 11:25:00,"[6444, 6446]",Journee
137,137,2022-04-10,11:40:00,,DAH,6171,7TVUK,ATR72,AAE,PA1,ARRIVE 11:30,34 PX,T2,2022-04-10 11:40:00,"[6459, 6461]",Journee
138,138,2022-04-10,11:50:00,,THY,651,,A321,IST,P2,ARRIVE 11:54,111 PX,T1,2022-04-10 11:50:00,"[6469, 6471]",Journee
139,139,2022-04-10,11:55:00,,MSR,845,,A330,CAI,P4B,ARRIVE 12:25,228 PX,T1,2022-04-10 11:55:00,"[6474, 6476]",Journee
140,140,2022-04-10,12:00:00,,DAH,6181,7TVVQ,ATR72,ORN,PA1,ARRIVE 11:45,29 PX,T2,2022-04-10 12:00:00,"[6479, 6481]",Journee
141,141,2022-04-10,,12:10:00,DAH,6266,7TVUN,ATR72,TGR,PA1,DECOLLE 12:05,31 PX,T2,2022-04-10 12:10:00,"[6489, 6491]",Journee
142,142,2022-04-10,12:25:00,,DAH,6217,7TVUO,ATR72,OGX,PA1,ARRIVE 12:30,,T2,2022-04-10 12:25:00,"[6504, 6506]",Journee
143,143,2022-04-10,,12:45:00,AFR,4145,,B777,ORY,P21,DECOLLE 12:38,,T4,2022-04-10 12:45:00,"[6523, 6527]",Journee
144,144,2022-04-10,,12:45:00,AFR,1855,,A320,CDG,P16,DECOLLE 12:40,,T4,2022-04-10 12:45:00,"[6523, 6527]",Journee
145,145,2022-04-10,,12:50:00,DAH,6252,7TVVQ,ATR72,ELU,PA1,DECOLLE 12:55,64 PX,T2,2022-04-10 12:50:00,"[6529, 6531]",Journee
146,146,2022-04-10,,12:55:00,MSR,846,,A330,CAI,P4B,DECOLLE 14:02,285 PX,T1,2022-04-10 12:55:00,"[6534, 6536]",Journee
147,147,2022-04-10,13:15:00,,QTR,1379,,A330,DOH,P4B,ARRIVE 14:24,220 PX/A COSTER A 14:33 CAUSE PRBM PASSERELLE,T1,2022-04-10 13:15:00,"[6554, 6556]",Journee
148,148,2022-04-10,13:15:00,,DAH,6191,7TVKG,B738,CZL,P12,ARRIVE 13:36,74 PX,T2,2022-04-10 13:15:00,"[6554, 6556]",Journee
149,149,2022-04-10,,13:15:00,THY,652,,A321,IST,P2,DECOLLE 13:01,66 PX,T2,2022-04-10 13:15:00,"[6554, 6556]",Journee
150,150,2022-04-10,13:40:00,,DAH,6059,7TVJU,B736,GJL,P18,ARRIVE 13:30,101 PX,T2,2022-04-10 13:40:00,"[6579, 6581]",Journee
151,151,2022-04-10,14:00:00,,DAH,6277,7TVUM,ATR72,MZW,PA1,ARRIVE 13:50,,T2,2022-04-10 14:00:00,"[6599, 6601]",Journee
152,152,2022-04-10,,14:00:00,DTH,1860,7TVCT,B738,ORN,PA1,DECOLLE 14:10,,T2,2022-04-10 14:00:00,"[6599, 6601]",Journee
153,153,2022-04-10,14:05:00,,SVA,341,,B777,JED,P3B,ARRIVE 14:47,80 PX,T1,2022-04-10 14:05:00,"[6604, 6606]",Journee
154,154,2022-04-10,14:15:00,,DAH,6157,7TVKI,B738,TMX,PA1,ARRIVE 14:05,48 PX,T2,2022-04-10 14:15:00,"[6614, 6616]",Journee
155,155,2022-04-10,,14:30:00,DAH,6194,7TVKE,B738,CZL,P11A,DECOLLE 14:22,53 PX,T2,2022-04-10 14:30:00,"[6629, 6631]",Journee
156,156,2022-04-10,,14:30:00,DAH,6176,7TVKD,B738,AAE,P10C,DECOLLE 14:40,TRACTAGE/93 PX,T2,2022-04-10 14:30:00,"[6629, 6631]",Journee
